iter	RMSE
192	0.5302743042
193	0.5265282571
194	0.5230554511
195	0.5201352879
196	0.5162539184
197	0.5117875708
198	0.5072537171
199	0.5027213076
200	0.4996525357
201	0.495704746
202	0.4907210615
203	0.487133141
204	0.4835889034
205	0.4803605875
206	0.4767591179
207	0.4734206075
208	0.4699175749
209	0.466722255
210	0.4625536289
211	0.4601256981
212	0.4571020883
213	0.4541428024
214	0.450503118
215	0.4479553215
216	0.4448998974
217	0.4420800466
218	0.4395289594
219	0.4362702286
220	0.4328060597
221	0.4287558761
222	0.4262699286
223	0.4254269419
224	0.4232291804
225	0.419722085
226	0.4158689929
227	0.4127750654
228	0.4098682527
229	0.4077254406
230	0.4055549658
231	0.4025024655
232	0.3990683356
233	0.3958742367
234	0.3938352852
235	0.3910803261
236	0.3892128794
237	0.3870377307
238	0.3842391032
239	0.3817261604
240	0.3794692313
241	0.3768828125
242	0.3743181007
243	0.3735088635
244	0.3703231499
245	0.3682483915
246	0.3656649066
247	0.3644537085
248	0.3617883222
249	0.35952306
250	0.3583803508
251	0.3570618639
252	0.3550130515
253	0.352708748
254	0.3510590783
255	0.3479726678
256	0.3468983494
257	0.3448112798
258	0.3440103423
259	0.3414137751
260	0.3407727718
261	0.3382675113
262	0.337771269
263	0.3372564939
264	0.3361981038
265	0.3337129658
266	0.3319729059
267	0.330020859
268	0.3292789575
269	0.3271010773
270	0.3254069647
271	0.3232527131
272	0.3228034889
273	0.3219679988
274	0.3209546536
275	0.3187025417
276	0.3171504874
277	0.3166426927
278	0.3150463428
279	0.3132905933
280	0.3128341517
281	0.3111705054
282	0.3105415275
283	0.3093636215
284	0.3083146227
285	0.3075791234
286	0.3069700414
287	0.3065582043
288	0.3043396492
289	0.302455798
290	0.3002655528
291	0.2981468485
292	0.2957539008
293	0.2939565192
294	0.2923658791
295	0.2918234906
296	0.2900538837
297	0.2872238648
298	0.2857294142
299	0.2852284691
300	0.2846503025
301	0.2832774326
302	0.2828643164
303	0.2810906887
304	0.2799578183
305	0.278547519
306	0.2761943728
307	0.2758425187
308	0.2746889431
309	0.2725362085
310	0.2720267974
311	0.2698877715
312	0.268201863
313	0.2668307896
314	0.2644968914
315	0.263244641
316	0.2625539603
317	0.260999527
318	0.259656647
319	0.2579358687
320	0.2555559128
321	0.2539042697
322	0.2526687758
323	0.2511097248
324	0.2499335647
325	0.2483351956
326	0.248029002
327	0.2462588912
328	0.2459793754
329	0.2448235581
330	0.2439545684
331	0.2426943963
332	0.2422634606
333	0.240494803
334	0.2392933129
335	0.2390218206
336	0.2370799871
337	0.2354905891
338	0.2340294793
339	0.2325996989
340	0.2320995199
341	0.2307766874
342	0.2303511752
343	0.229098105
344	0.2287793704
345	0.2285163835
346	0.2268203071
347	0.2252836444
348	0.2250396333
349	0.2248128428
350	0.2245812546
351	0.2243748257
352	0.2240739313
353	0.2227675365
354	0.221353363
355	0.2205528145
356	0.2192570807
357	0.2178358534
358	0.2159439586
359	0.2157675406
360	0.2155278834
361	0.2141219938
362	0.2138738107
363	0.2123815689
364	0.2120735825
365	0.2108651569
366	0.2096949555
367	0.2084086789
368	0.2076141664
369	0.2073547345
370	0.2069752172
371	0.2059778032
372	0.2057271757
373	0.2052131389
374	0.2049578799
375	0.2048050931
376	0.2043194285
377	0.2029959008
378	0.2017847422
379	0.2005920574
380	0.1988985543
381	0.1981090423
382	0.1979795829
383	0.197148553
384	0.1959765934
385	0.1949003235
386	0.194730648
387	0.1945753204
388	0.1932827835
389	0.192945073
390	0.1927821402
391	0.1915290417
392	0.1905689957
393	0.1892170493
394	0.1880261403
395	0.186556401
396	0.1853528275
397	0.1841957209
398	0.1829516557
399	0.1826227123
400	0.181914515
401	0.1804478846
402	0.1791429373
403	0.177882049
404	0.1767434354
405	0.1757291096
406	0.1748210359
407	0.1735096808
408	0.1728840142
409	0.1718835926
410	0.1711257117
411	0.1703989884
412	0.1698096582
413	0.1694524934
414	0.1682852353
415	0.1672562717
